iter	RMSE
0	1.036418427
1	1.012084033
2	0.9941821631
3	0.9750591699
4	0.9545324326
5	0.9372166499
6	0.9262675067
7	0.9137016477
8	0.9036470584
9	0.8918474984
10	0.8816136569
11	0.8728061342
12	0.866607966
13	0.8565166019
14	0.8509433646
15	0.8399061751
16	0.8289335173
17	0.8224364072
18	0.8161883725
19	0.8109478496
20	0.8077845985
21	0.8008809399
22	0.7957463764
23	0.7905892392
24	0.7849119411
25	0.7787396941
26	0.7696811542
27	0.7643648222
28	0.7566975567
29	0.7526614354
30	0.7463865531
31	0.7414697765
32	0.7351768234
33	0.7327140653
34	0.7295636337
35	0.7239911831
36	0.7170425907
37	0.7123347877
38	0.7079761332
39	0.6988881479
40	0.6955476259
41	0.6884303209
42	0.6828143613
43	0.6801546839
44	0.674881058
45	0.666899153
46	0.6638640615
47	0.659593594
48	0.6574751098
49	0.6525796724
50	0.6453476636
51	0.6426800737
52	0.6393174036
53	0.6343122395
54	0.632261348
55	0.6243258152
56	0.6206617972
57	0.6152328063
58	0.6066350631
59	0.601764257
60	0.5989943498
61	0.5941638832
62	0.5908190284
63	0.5844712921
64	0.581524668
65	0.5763536191
66	0.5699174452
67	0.5663829207
68	0.5631801803
69	0.5596396727
70	0.5580362688
71	0.5533214088
72	0.5529116766
73	0.5489722461
74	0.543154238
75	0.5405880712
76	0.5395571242
77	0.5352603701
78	0.5311880716
79	0.5277157597
80	0.5248835212
81	0.5240788669
82	0.5193268064
83	0.5188149643
84	0.5113813985
85	0.505566059
86	0.502429013
87	0.5018108867
88	0.5014139937
89	0.4959295321
90	0.4925902514
91	0.4875635361
92	0.4870884287
93	0.4825496886
94	0.4822465688
95	0.4786854051
96	0.4746196
97	0.4708250905
98	0.4672608314
99	0.4638341334
