FTHG,FTAG,HTR,HTHG,AST,HTAG,AF,HST,BWA,HS
2.0,2.0,0,0.0,6.0,1.0,21.0,7.0,3.7,11.0
2.0,3.0,2,1.0,4.0,0.0,13.0,8.0,4.5,21.0
3.0,2.0,2,3.0,5.0,2.0,10.0,8.0,10.5,17.0
1.0,3.0,0,0.0,4.0,1.0,16.0,1.0,1.73,9.0
1.0,0.0,1,0.0,3.0,0.0,10.0,7.0,2.55,19.0
1.0,1.0,1,0.0,3.0,0.0,13.0,4.0,4.75,13.0
1.0,1.0,1,1.0,7.0,1.0,13.0,5.0,5.25,12.0
2.0,2.0,2,1.0,9.0,0.0,13.0,3.0,1.9,7.0
1.0,0.0,2,1.0,3.0,0.0,6.0,8.0,2.6,11.0
2.0,3.0,0,0.0,3.0,2.0,11.0,6.0,6.25,24.0
2.0,1.0,0,0.0,3.0,1.0,17.0,7.0,1.53,10.0
2.0,1.0,0,0.0,3.0,1.0,16.0,6.0,9.5,13.0
2.0,2.0,0,0.0,5.0,1.0,12.0,10.0,2.15,28.0
2.0,1.0,1,1.0,5.0,1.0,10.0,4.0,1.85,14.0
1.0,3.0,0,0.0,10.0,1.0,8.0,4.0,1.39,11.0
0.0,0.0,1,0.0,2.0,0.0,15.0,2.0,3.0,13.0
1.0,3.0,0,0.0,6.0,1.0,14.0,5.0,3.7,10.0
3.0,2.0,2,2.0,5.0,1.0,11.0,6.0,2.5,10.0
3.0,0.0,2,1.0,1.0,0.0,18.0,7.0,7.25,8.0
2.0,1.0,1,1.0,4.0,1.0,12.0,6.0,9.25,14.0
1.0,1.0,1,1.0,6.0,1.0,11.0,3.0,2.2,7.0
2.0,1.0,0,0.0,8.0,1.0,15.0,10.0,2.8,24.0
2.0,1.0,2,2.0,4.0,0.0,17.0,7.0,8.0,12.0
1.0,2.0,0,0.0,8.0,1.0,12.0,3.0,2.85,9.0
0.0,4.0,1,0.0,5.0,0.0,13.0,2.0,2.15,11.0
0.0,0.0,1,0.0,1.0,0.0,13.0,3.0,3.2,14.0
3.0,1.0,1,0.0,3.0,0.0,12.0,8.0,5.0,24.0
3.0,2.0,0,0.0,7.0,2.0,14.0,8.0,2.25,15.0
2.0,0.0,2,1.0,6.0,0.0,16.0,2.0,2.37,9.0
4.0,0.0,2,1.0,4.0,0.0,16.0,7.0,4.0,15.0
3.0,1.0,2,2.0,4.0,0.0,8.0,8.0,3.2,12.0
1.0,1.0,1,1.0,3.0,1.0,9.0,5.0,2.05,14.0
1.0,2.0,1,0.0,2.0,0.0,11.0,6.0,2.9,18.0
1.0,0.0,2,1.0,4.0,0.0,13.0,4.0,1.95,10.0
0.0,1.0,0,0.0,4.0,1.0,18.0,1.0,2.05,9.0
1.0,1.0,2,1.0,2.0,0.0,16.0,3.0,4.2,13.0
3.0,2.0,2,2.0,2.0,0.0,15.0,5.0,13.5,11.0
0.0,2.0,0,0.0,5.0,1.0,21.0,2.0,3.1,7.0
1.0,0.0,2,1.0,1.0,0.0,11.0,4.0,16.5,9.0
0.0,4.0,0,0.0,8.0,2.0,8.0,3.0,2.65,13.0
0.0,2.0,0,0.0,4.0,1.0,9.0,3.0,2.4,7.0
5.0,1.0,2,3.0,7.0,0.0,13.0,6.0,4.33,22.0
0.0,1.0,1,0.0,3.0,0.0,7.0,5.0,3.1,21.0
0.0,3.0,0,0.0,9.0,1.0,10.0,5.0,1.85,12.0
1.0,2.0,1,1.0,6.0,1.0,12.0,3.0,3.7,10.0
3.0,0.0,1,0.0,2.0,0.0,16.0,6.0,13.5,14.0
0.0,0.0,1,0.0,3.0,0.0,10.0,6.0,2.25,17.0
3.0,3.0,0,1.0,5.0,2.0,18.0,4.0,3.1,15.0
0.0,0.0,1,0.0,3.0,0.0,12.0,3.0,4.8,14.0
