Date,HomeTeam,AwayTeam,Target,home_avg_goals_scored,home_avg_goals_conceded,home_avg_shots,home_avg_shots_target,home_avg_corners,home_win_rate,home_form,away_avg_goals_scored,away_avg_goals_conceded,away_avg_shots,away_avg_shots_target,away_avg_corners,away_win_rate,away_form,form_difference,goal_difference,home_shot_efficiency,away_shot_efficiency,home_advantage,Target_encoded
2019-07-26,Genk,Kortrijk,H,1.8,1.6,15.8,5.6,5.6,0.6,2.0,1.0,1.4,12.2,4.2,7.8,0.4,1.4,0.6000000000000001,0.5999999999999999,0.3333333333333333,0.31818181818181823,0.19999999999999996,0
2019-07-27,Cercle Brugge,Standard,A,1.2,2.0,15.8,5.2,7.6,0.2,0.8,0.4,0.6,9.8,1.8,2.8,0.4,1.4,-0.5999999999999999,-0.6000000000000001,0.30952380952380953,0.16666666666666666,-0.2,2
2019-07-27,St Truiden,Mouscron,A,1.2,2.8,8.6,3.2,3.4,0.0,0.6,1.2,1.8,13.6,3.8,5.2,0.2,0.8,-0.20000000000000007,-0.9999999999999998,0.33333333333333337,0.2602739726027397,-0.2,2
2019-07-27,Waregem,Mechelen,A,2.2,2.2,10.2,5.0,4.4,0.2,0.8,1.8,1.8,13.4,5.2,4.4,0.4,1.4,-0.5999999999999999,0.0,0.44642857142857145,0.3611111111111111,-0.2,2
2019-07-27,Waasland-Beveren,Club Brugge,A,2.0,2.2,13.8,6.6,5.0,0.4,1.2,1.6,1.0,16.2,6.4,5.2,0.6,1.8,-0.6000000000000001,-0.8000000000000003,0.4459459459459459,0.372093023255814,-0.19999999999999996,2
2019-07-28,Charleroi,Gent,D,1.6,1.4,15.0,4.4,4.4,0.6,1.8,1.4,1.0,12.0,4.2,4.2,0.4,1.4,0.40000000000000013,-0.19999999999999973,0.275,0.3230769230769231,0.19999999999999996,1
2019-07-28,Eupen,Antwerp,A,0.8,1.4,10.2,2.8,3.4,0.2,0.6,1.6,1.2,15.0,6.4,7.8,0.2,0.8,-0.20000000000000007,-1.0,0.25,0.4,0.0,2
2019-08-02,Club Brugge,St Truiden,H,1.6,1.0,16.2,6.4,5.2,0.6,1.8,1.2,2.8,8.6,3.2,3.4,0.0,0.6,1.2000000000000002,2.2,0.372093023255814,0.33333333333333337,0.6,0
2019-08-03,Standard,Waregem,H,0.4,0.6,9.8,1.8,2.8,0.4,1.4,2.2,2.2,10.2,5.0,4.4,0.2,0.8,0.5999999999999999,-0.19999999999999996,0.16666666666666666,0.44642857142857145,0.2,0
2019-08-03,Kortrijk,Charleroi,D,1.0,1.4,12.2,4.2,7.8,0.4,1.4,1.6,1.4,15.0,4.4,4.4,0.6,1.8,-0.40000000000000013,-0.6000000000000001,0.31818181818181823,0.275,-0.19999999999999996,1
2019-08-03,Oostende,Cercle Brugge,H,0.8,3.0,14.8,5.8,5.4,0.2,0.6,1.2,2.0,15.8,5.2,7.6,0.2,0.8,-0.20000000000000007,-1.4000000000000001,0.36708860759493667,0.30952380952380953,0.0,0
2019-08-03,Mechelen,Genk,H,1.8,1.8,13.4,5.2,4.4,0.4,1.4,1.8,1.6,15.8,5.6,5.6,0.6,2.0,-0.6000000000000001,-0.19999999999999996,0.3611111111111111,0.3333333333333333,-0.19999999999999996,0
2019-08-04,Gent,Eupen,H,1.4,1.0,12.0,4.2,4.2,0.4,1.4,0.8,1.4,10.2,2.8,3.4,0.2,0.6,0.7999999999999999,0.9999999999999998,0.3230769230769231,0.25,0.2,0
2019-08-04,Mouscron,Anderlecht,D,1.2,1.8,13.6,3.8,5.2,0.2,0.8,1.4,0.6,12.4,4.4,5.8,0.6,2.2,-1.4000000000000001,-1.4,0.2602739726027397,0.3283582089552239,-0.39999999999999997,1
2019-08-04,Antwerp,Waasland-Beveren,H,1.6,1.2,15.0,6.4,7.8,0.2,0.8,2.0,2.2,13.8,6.6,5.0,0.4,1.2,-0.3999999999999999,0.6000000000000003,0.4,0.4459459459459459,-0.2,0
2019-08-09,Anderlecht,Mechelen,D,1.4,0.6,12.4,4.4,5.8,0.6,2.2,1.8,1.8,13.4,5.2,4.4,0.4,1.4,0.8000000000000003,0.7999999999999999,0.3283582089552239,0.3611111111111111,0.19999999999999996,1
2019-08-10,Cercle Brugge,Kortrijk,A,1.2,2.0,15.8,5.2,7.6,0.2,0.8,1.0,1.4,12.2,4.2,7.8,0.4,1.4,-0.5999999999999999,-0.40000000000000013,0.30952380952380953,0.31818181818181823,-0.2,2
2019-08-10,Eupen,Waasland-Beveren,D,0.8,1.4,10.2,2.8,3.4,0.2,0.6,2.0,2.2,13.8,6.6,5.0,0.4,1.2,-0.6,-0.3999999999999997,0.25,0.4459459459459459,-0.2,1
2019-08-10,Genk,Waregem,A,1.8,1.6,15.8,5.6,5.6,0.6,2.0,2.2,2.2,10.2,5.0,4.4,0.2,0.8,1.2,0.19999999999999996,0.3333333333333333,0.44642857142857145,0.39999999999999997,2
2019-08-11,St Truiden,Standard,H,1.2,2.8,8.6,3.2,3.4,0.0,0.6,0.4,0.6,9.8,1.8,2.8,0.4,1.4,-0.7999999999999999,-1.4,0.33333333333333337,0.16666666666666666,-0.4,0
2019-08-11,Charleroi,Antwerp,H,1.6,1.4,15.0,4.4,4.4,0.6,1.8,1.6,1.2,15.0,6.4,7.8,0.2,0.8,1.0,-0.19999999999999996,0.275,0.4,0.39999999999999997,0
2019-08-11,Mouscron,Gent,H,1.2,1.8,13.6,3.8,5.2,0.2,0.8,1.4,1.0,12.0,4.2,4.2,0.4,1.4,-0.5999999999999999,-1.0,0.2602739726027397,0.3230769230769231,-0.2,0
2019-08-16,Club Brugge,Eupen,D,1.6,1.0,16.2,6.4,5.2,0.6,1.8,0.8,1.4,10.2,2.8,3.4,0.2,0.6,1.2000000000000002,1.2,0.372093023255814,0.25,0.39999999999999997,1
