date,home_team,away_team,score,stats_url,uid
Sunday 25 May 2025,Southampton FC,Arsenal FC,1 - 2,https://www.football.co.uk/match-reports/southampton/southampton/3497787-9/,Sunday 25 May 2025|Southampton FC|Arsenal FC
Sunday 25 May 2025,Liverpool FC,Crystal Palace FC,1 - 1,https://www.football.co.uk/match-reports/liverpool/liverpool/3497783-9/,Sunday 25 May 2025|Liverpool FC|Crystal Palace FC
Sunday 25 May 2025,Fulham FC,Manchester City FC,0 - 2,https://www.football.co.uk/match-reports/fulham/fulham/3497781-9/,Sunday 25 May 2025|Fulham FC|Manchester City FC
Sunday 25 May 2025,Nottingham Forest FC,Chelsea FC,0 - 1,https://www.football.co.uk/match-reports/nottingham_forest/nottingham_forest/3497786-9/,Sunday 25 May 2025|Nottingham Forest FC|Chelsea FC
Sunday 25 May 2025,AFC Bournemouth,Leicester City FC,2 - 0,https://www.football.co.uk/match-reports/afc_bournemouth/afc_bournemouth/3497780-9/,Sunday 25 May 2025|AFC Bournemouth|Leicester City FC
Sunday 25 May 2025,Tottenham Hotspur FC,Brighton & Hove Albion FC,1 - 4,https://www.football.co.uk/match-reports/tottenham_hotspur/tottenham_hotspur/3497788-9/,Sunday 25 May 2025|Tottenham Hotspur FC|Brighton & Hove Albion FC
Sunday 25 May 2025,Wolverhampton Wanderers FC,Brentford FC,1 - 1,https://www.football.co.uk/match-reports/wolverhampton_wanderers/wolverhampton_wanderers/3497789-9/,Sunday 25 May 2025|Wolverhampton Wanderers FC|Brentford FC
Sunday 25 May 2025,Newcastle United FC,Everton FC,0 - 1,https://www.football.co.uk/match-reports/newcastle_united/newcastle_united/3497785-9/,Sunday 25 May 2025|Newcastle United FC|Everton FC
Sunday 25 May 2025,Ipswich Town FC,West Ham United FC,1 - 3,https://www.football.co.uk/match-reports/ipswich_town/ipswich_town/3497782-9/,Sunday 25 May 2025|Ipswich Town FC|West Ham United FC
Sunday 25 May 2025,Manchester United FC,Aston Villa FC,2 - 0,https://www.football.co.uk/match-reports/manchester_united/manchester_united/3497784-9/,Sunday 25 May 2025|Manchester United FC|Aston Villa FC
Saturday 24 May 2025,Sheffield United FC,Sunderland AFC,1 - 2,https://www.football.co.uk/match-reports/sheffield_united/sheffield_united/3536449-9/,Saturday 24 May 2025|Sheffield United FC|Sunderland AFC
